file,r_avg,g_avg,b_avg
extra_super_earth.png,70.12195914029287,61.806683986773734,96.31881790269249
heic1501a.png,69.90819097222223,68.42348611111112,73.85298263888889
extra_green_nebula_3.png,27.15111111111111,59.72430555555555,61.0771626984127
0_extra_Lagoon_nebula.png,66.30887955227816,91.1505998940883,122.62744279252273
opo0624a.png,76.94404098908443,77.52900670775476,80.58847553278385
heic1608a.png,46.24156597222222,48.22142708333333,63.464131944444446
heic1307a.png,75.26045486111111,65.40027083333334,67.03239583333334
heic0814a.png,47.8573725,41.02421625,31.86171875
heic0715a.png,109.96977095858075,83.9893630361819,74.79677153640935
opo0501a.png,80.19903819444444,77.83205208333334,83.27927777777778
opo9942a_part_2.png,81.62901171560968,87.26705628370384,109.88783907070014
opo9433a.png,93.41701388888889,77.78296440972223,69.09407552083333
0_extra_blue_SUn.png,1.4890503355122848,21.58342725365422,118.19574150815806
heic0109a.png,61.88222627744319,34.21401849724912,14.162734203586345
heic1811a.png,78.5344799785004,70.38751007793604,65.92309191077668
heic0814b.png,33.39696310391786,31.128275780537766,24.461511354826683
extra_189733b.png,27.48190687988482,49.46167343685726,39.401101655697246
potw1346a.png,43.03174603174603,36.84615384615385,25.633699633699635
heic1510a.png,92.76158287103773,90.6394603881827,91.00857248940724
extra_rosette_cfht.png,178.0728730187648,156.13560454241818,57.634136960790265
0_extra_Uranus.png,29.889446875672572,30.073749910323553,36.04196857737284
heic1104a.png,91.679665,79.8547025,71.1009175
heic0515a.png,87.839495,97.10991375,82.9984725
potw1805a.png,86.5421875,75.16506597222222,74.94405208333333
heic1509a.png,87.46399652777778,76.2328611111111,82.86396180555556
heic1118a.png,95.93422601697687,84.49161109610272,90.33446630930884
heic0601a.png,76.42504873294347,59.44811565951917,59.42253171916145
heic1107a.png,59.23388194444444,55.1496875,54.176652777777775
extra_planetbleed_v2.png,213.5100105374078,154.42877841336747,60.84983253048321
potw1818a_part_1.png,66.13979289940828,65.98794378698224,50.3530325443787
extra_planetbleed.png,156.65988708454694,108.29068746758169,33.952589474524196
heic1305a.png,93.15424615833699,89.29841329413482,84.7286545318071
heic0706a.png,74.86364523807735,71.10833064255732,74.05386307829782
potw1811a.png,163.75521142708644,155.26699862637363,142.92240867240866
0_extra_helix_nebula.png,45.46627674707182,58.213134186818394,91.33734350251707
heic1323a.png,71.49069444444444,62.27087847222222,57.57739930555555
heic1712a.png,63.88351041666667,62.17197222222222,62.67301388888889
heic1110a.png,134.6162105263158,119.35520221606649,105.8868836565097
heic1520a.png,56.13832291666667,48.04881944444445,53.240663194444444
heic0206a.png,39.13367003117481,38.94689536429076,39.758954729826534
potw1752a.png,89.70106597222222,95.6349375,144.21640625
potw1542a.png,116.9172351416251,114.02131223765757,115.6397429282989
heic1406a.png,93.34886458333334,93.72231597222222,98.36026041666666
0_extra_Europa.png,18.650437907956704,97.44082045773776,115.14593489217549
potw1818a_part_2.png,84.8690290251204,92.64964857477548,94.93479109722765
opo0511a.png,112.72647080098834,101.5991593791284,95.3914445506219
heic1302a.png,93.82372222222222,76.80482291666667,77.44335069444445
heic0719a.png,129.05435433712404,124.04068944149272,128.04545172876766
potw1020a.png,80.99264678436788,82.83068941062297,83.27501772983464
heic1518a.png,119.46333666333666,131.06933066933067,118.24222444222444
extra_Venus_1.png,123.49234204383605,74.2459818602627,21.784029316347524
opo0036a.png,46.910511089681776,51.10954676952748,60.39721724755476
extra_crab_nebula.png,101.75869595343681,71.55409275683665,152.6241338691796
heic1516a.png,45.89658173210805,44.086631509328875,44.23289125591757
heic0514a.png,136.0269675925926,94.50602006172839,106.11708796296297
heic1105a.png,101.23049305555556,94.62747222222222,92.78928472222222
heic0506b_1.png,135.7739375,102.52162847222222,111.72940625
heic0911b.png,74.89019,67.73410625,68.68362625
heic1713a.png,74.44132042151021,38.982840730462456,24.067759902191
potw1751a.png,41.84375,40.04127275910364,41.796656162464984
extra_nebula_1.png,44.246872393661384,67.30126668056714,113.49562135112593
heic1814a.png,107.80258409445311,75.75875473379372,49.890599242593005
heic1707a.png,72.85949382716049,55.91910030864197,62.59137808641975
opo0123a.png,79.01131429919774,76.07891694195375,64.26954931571495
extra_bubbly_nebula.png,49.404074754436834,105.60236226449467,115.57329952886285
potw1714a.png,54.977878544265494,102.18877758407328,139.6409802451516
heic0817a.png,65.91748,52.76513375,50.32593625
heic0411a.png,120.52924531335412,96.67799607704428,93.11540564005273
0_extra_mars.png,97.91792246142123,75.38102733854068,55.4502262335683
heic1310a.png,78.67643390094297,70.18488796576032,60.12063135127712
opo0006a.png,150.14507851428033,106.8990120875839,80.64571118690957
potw1804a.png,71.4074375,69.85555208333334,26.525052083333332
potw1345a.png,113.7704548611111,103.51713194444444,106.21178819444444
heic0602a.png,71.36281455872752,67.43706970740104,69.8480584901181
extra_earth.png,59.608813443072705,66.08648834019205,74.74682784636488
0_extra_helix_nebula_2.png,101.3962139371167,88.52029077049322,139.94508778180875
heic1815a.png,65.14567586456823,59.86726192016981,54.77474147080141
0_extra_earth.png,68.15042143937757,75.73346376531343,91.73187128183545
potw1752b.png,7.0793229166666665,20.253024305555556,21.778152777777777
0_extra_Hazy_planet.png,125.28118486947257,105.09780145622447,88.07129959154679
heic0910s.png,74.58339726600641,71.71231168921746,77.7803738317757
opo0212a.png,78.13288822472957,72.29503297185397,71.93919743354218
opo1438b.png,94.55737061739843,88.43210757213681,80.11086243178657
heic0506a.png,71.92478819444445,69.60645833333334,70.19713888888889
extra_Exo_1.png,39.394486111111114,56.19761111111111,80.13680208333334
heic0822b.png,175.37397310863568,174.2750618019023,174.64164694532792
potw1802a.png,13.43104861111111,26.994017361111112,9.655902777777778
0_extra_Crab_nebula.png,46.163446666666665,27.183137777777777,74.21084888888889
extra_black_hole.png,103.56277685950413,33.141685950413226,6.306776859504132
heic0604a.png,67.00884173297966,57.9540767376424,56.78367316224983
extra_star_2.png,88.6621412803532,46.56948123620309,11.754746136865343
opo9607a.png,88.96877559377559,41.7232800982801,14.28552416052416
extra_orion_nebula.png,60.67109604105572,14.605702764976959,74.2182917888563
opo0328a.png,80.94807986111111,78.58540972222222,78.60933680555556
heic0910h.png,51.86770138888889,42.586538194444444,37.89828125
heic1806a.png,28.04469,12.96699,39.21973
heic0910e.png,71.61350182747665,81.7972145911469,91.84148491435943
opo9942a_part_1.png,50.73865400420053,13.1755775728244,2.1066340973427082
opo9941a.png,89.27366175828129,76.20545833012103,53.21236262088934
heic0108a.png,50.555715493819385,67.77319754574734,73.1178320168415
extra_earth_1.png,86.01225,87.22559375,101.57403125
extra_nebula_2.png,21.014572835547412,105.01819457169033,105.52520900137425
extra_nebula_green_2.png,27.88223625,70.9038075,25.9239
heic0905a.png,135.53453572537686,132.95124340077876,135.5606316141516
potw1821a.png,108.63825230242021,53.7070938215103,114.69440091984083
heic1808a.png,100.50124305555556,86.18439236111111,89.69703472222223
heic0822a.png,100.65415917271972,93.74519808463721,91.3536036557596
0_extra_Huze.png,88.06743747430144,44.59768578937018,128.51432415038346
extra_Exo_2.png,176.79708891997674,107.28271428346878,87.22832801521558
heic1503a.png,43.49115625,40.74063541666667,42.901986111111114
heic0506b_2.png,77.38164969135802,39.403847222222225,1.7621450617283951
heic1716a.png,109.8796875,100.48976041666667,105.08072569444444
0_extra_Whirpool_Galaxy.png,115.40493827160493,82.70469821673525,149.03481224279835
heic0910i.png,55.89843949654996,48.75306670074112,45.43983197035523
extra_potw1327a.png,124.28454063419099,90.04060275388947,58.11468252027693
extra_Kepler22b.png,48.572392208844214,79.07051069627012,54.814293604330054
potw1451a.png,46.34569140625,45.61044140625,44.5748359375
0_extra_ghost_nebula.png,120.54727863078531,91.90352759892136,67.5358015519234
potw1441a.png,95.72231672202211,100.77144219944095,108.30768745155667
potw1442a.png,152.42193773001003,153.10131942121112,154.25038160756105
heic0702a.png,77.15275785529418,71.4915975430627,77.99392137042962
heic1007a.png,98.23962847222222,94.66680902777777,103.39604166666666
heic0206c.png,99.29999206349207,41.065760770975054,47.45514739229025
potw1822a.png,36.66294444444444,16.54210763888889,56.77352777777778
heic1518a_2.png,62.52370037807184,64.24326559546314,62.52922967863894
heic0406a.png,21.76874228395062,16.906939814814816,16.158851851851853
opo0028a.png,112.31675804326575,73.41238471673255,75.31157295252667
0_extra_neptune.png,42.25459470785441,77.73084291187739,114.9463751197318
heic0707a.png,138.66649037237272,116.75125364831247,89.13576619458972
opo0010a.png,67.70220051132213,68.36041818845872,99.09514243973703
extra_green_nebula.png,18.45012783305694,60.736802100608074,60.67203911000553
heic0910q.png,111.27372363893984,101.51555271861311,85.20897705233106
heic0904f.png,126.46282255536147,121.1165070285557,102.835332808671
0_extra_venus.png,125.45910358565737,101.35162848605577,71.05570717131474
heic1410a.png,93.54179703245869,91.78217555713381,82.77986576322373
heic0503a.png,72.3621567030461,44.607581039257205,53.26299397295976
heic1708a.png,99.83259961147681,85.22814789969208,79.4898187357623
extra_sun_2.png,177.5444825817651,43.66449678462934,4.511539827198485
extra_star_3.png,46.668422025129345,79.96577050997783,110.91865299334812
opo9828c.png,126.72104357798165,122.23159924937448,113.77582881567973
heic0206b.png,50.027055926681676,49.936436609582515,49.68777738106029
